customer_id,first_name,last_name,email,mobile,rating,signup_date,tier,city,state,country
1,Jennifer,Lloyd,Lloyd@reactual.tech,287688,4.00,1/19/2022,1,Thibodaux,LA,US
2,Alexander,White,White@reactual.tech,206776,4.20,2/18/2022,1,Thibodaux,LA,US
3,Stephanie,Rivera,Rivera@reactual.tech,924623,4.57,2/18/2022,1,Pigeon Forge,TN,US
4,Holly,Mckenzie,Mckenzie@reactual.tech,899289,4.59,2/15/2022,1,Pigeon Forge,TN,US
5,Tara,Rivera,Rivera@reactual.tech,215533,4.59,2/28/2022,1,Morrow,GA,US
6,David,Pruitt,Pruitt@reactual.tech,640530,4.59,1/10/2022,1,Detroit,MI,US
7,Christine,Mercer,Mercer@reactual.tech,375646,4.64,2/10/2022,1,Detroit,MI,US
8,Kara,White,White@reactual.tech,705650,4.64,1/27/2022,1,Oceanside,CA,US
9,Benjamin,Porter,Porter@reactual.tech,460233,4.66,2/13/2022,1,Riverhead,NY,US
10,Eric,Taylor,Taylor@reactual.tech,443432,4.69,1/17/2022,1,Monahans,TX,US
11,Gloria,Matthews,Matthews@reactual.tech,700108,4.69,2/13/2022,1,Mabank,TX,US
12,Steven,Bowman,Bowman@reactual.tech,643694,4.69,1/1/2022,1,Missouri City,TX,US
13,Victor,Williams,Williams@reactual.tech,377427,4.69,2/27/2022,1,Akron,OH,US
14,Howard,Cummings,Cummings@reactual.tech,254283,4.72,1/26/2022,1,Eastland,TX,US
15,Tyler,Chambers,Chambers@reactual.tech,639488,4.72,1/17/2022,1,Azusa,CA,US
16,Madison,Wilson,Wilson@reactual.tech,981010,4.72,2/18/2022,1,Summerville,SC,US
17,Angela,Dominguez,Dominguez@reactual.tech,799307,4.73,1/13/2022,1,Oregon,OH,US
18,Hayden,Bryant,Bryant@reactual.tech,994640,4.73,1/28/2022,1,Los Angeles,CA,US
19,Brittany,Hoover,Hoover@reactual.tech,450912,4.74,2/16/2022,1,Pearl,MS,US
20,Spencer,Medina,Medina@reactual.tech,943153,4.75,2/13/2022,1,Grand Rapids,MI,US
21,Michael,Scott,Scott@reactual.tech,572969,4.75,2/18/2022,1,Shelbyville,IN,US
22,Nicholas,Long,Long@reactual.tech,744279,4.76,1/9/2022,1,Brooklyn,NY,US
23,Angela,Wood,Wood@reactual.tech,757243,4.76,1/16/2022,1,Augusta,GA,US
24,Melissa,Rodriguez,Rodriguez@reactual.tech,344986,4.76,1/16/2022,1,Detroit,MI,US
25,John,Griffin,Griffin@reactual.tech,241818,4.76,2/9/2022,1,Arlington,MA,US
26,Dawn,Berg,Berg@reactual.tech,625593,4.77,1/5/2022,1,Schenectady,NY,US
27,Lisa,Ramirez,Ramirez@reactual.tech,628695,4.77,1/11/2022,1,Kingston,NY,US
28,Gabriel,Hart,Hart@reactual.tech,453534,4.77,2/17/2022,1,New York,NY,US
29,Lauren,Vargas,Vargas@reactual.tech,909687,4.78,1/7/2022,1,New York,NY,US
30,Christopher,Williams,Williams@reactual.tech,625092,4.78,2/26/2022,1,Uniondale,NY,US
31,Michael,Graves,Graves@reactual.tech,414178,4.78,1/23/2022,1,Jericho,NY,US
32,Ryan,Allen,Allen@reactual.tech,454648,4.79,2/13/2022,1,Jericho,NY,US
33,Kelly,Sanchez,Sanchez@reactual.tech,840619,4.79,1/12/2022,1,Albany,NY,US
34,Paula,Ward,Ward@reactual.tech,974660,4.79,2/13/2022,1,Bronx,NY,US
35,Amy,Trujillo,Trujillo@reactual.tech,566319,4.79,2/8/2022,1,Schenectady,NY,US
36,Angela,Cooke,Cooke@reactual.tech,302789,4.80,1/22/2022,1,Buffalo,NY,US
37,James,Carroll,Carroll@reactual.tech,685561,4.80,2/20/2022,1,Tonawanda,NY,US
38,Julie,Graham,Graham@reactual.tech,634817,4.80,1/26/2022,1,Woburn,MA,US
39,Cynthia,Welch,Welch@reactual.tech,454934,4.80,1/23/2022,1,Whitinsville,MA,US
40,Deborah,Wade,Wade@reactual.tech,765289,4.80,2/16/2022,1,Wilmington,MA,US
41,Michael,Torres,Torres@reactual.tech,790479,4.80,1/28/2022,1,Webster,MA,US
42,Brooke,Johnson,Johnson@reactual.tech,766688,4.80,1/31/2022,1,Waltham,MA,US
43,Tiffany,Novak,Novak@reactual.tech,939470,4.81,1/12/2022,1,Townsend,MA,US
44,Heather,Hudson,Hudson@reactual.tech,329475,4.81,1/18/2022,1,Walpole,MA,US
45,Tim,Santos,Santos@reactual.tech,428688,4.81,2/27/2022,1,Taunton,MA,US
46,Melissa,Keller,Keller@reactual.tech,248989,4.81,2/18/2022,1,Springfield,MA,US
47,Denise,Parsons,Parsons@reactual.tech,471734,4.81,2/11/2022,1,Springfield,MA,US
48,Sarah,Baker,Baker@reactual.tech,723066,4.82,1/8/2022,1,Springfield,MA,US
49,Wesley,Webb,Webb@reactual.tech,213484,4.82,1/10/2022,1,Springfield,MA,US
50,Timothy,Andrews,Andrews@reactual.tech,290812,4.82,1/21/2022,1,Springfield,MA,US
51,Desiree,Richardson,Richardson@reactual.tech,325999,4.82,1/27/2022,1,Spencer,MA,US
52,Matthew,Foster,Foster@reactual.tech,905297,4.82,1/10/2022,1,Spencer,MA,US
53,Jeanne,Black,Black@reactual.tech,585435,4.83,1/11/2022,1,Miami,FL,US
54,Julie,Davis,Davis@reactual.tech,810561,4.83,2/13/2022,1,Wylie,TX,US
55,William,Ortiz,Ortiz@reactual.tech,204373,4.83,1/9/2022,1,Tyler,TX,US
56,Mallory,Rogers,Rogers@reactual.tech,318236,4.83,1/31/2022,1,Columbia,MO,US
57,Lindsey,Evans,Evans@reactual.tech,331973,4.84,1/2/2022,1,Savannah,GA,US
58,Amanda,Nguyen,Nguyen@reactual.tech,495891,4.84,1/17/2022,1,Marietta,GA,US
59,Kimberly,Lee,Lee@reactual.tech,541078,4.84,1/27/2022,1,McDonough,GA,US
60,Donna,Huang,Huang@reactual.tech,344816,4.84,1/16/2022,1,Monroe,GA,US
61,Melody,Porter,Porter@reactual.tech,785207,4.84,1/21/2022,1,Augusta,GA,US
62,Amber,Graham,Graham@reactual.tech,529075,4.84,1/17/2022,1,Milledgeville,GA,US
63,Laurie,Chase,Chase@reactual.tech,330086,4.84,2/1/2022,1,Loganville,GA,US
64,Mark,Bird,Bird@reactual.tech,302111,4.85,1/19/2022,1,Loganville,GA,US
65,Amanda,Lin,Lin@reactual.tech,857163,4.85,2/13/2022,1,Lithonia,GA,US
66,Jennifer,Chapman,Chapman@reactual.tech,456694,4.85,2/18/2022,1,Danvers,MA,US
67,Alexander,Miller,Miller@reactual.tech,426322,4.85,1/9/2022,1,Springfield,MA,US
68,Pamela,Smith,Smith@reactual.tech,505435,4.85,2/4/2022,1,Ravenna,OH,US
69,Nicole,Campbell,Campbell@reactual.tech,609944,4.85,1/18/2022,1,Arlington,TX,US
70,Teresa,Howard,Howard@reactual.tech,402149,4.85,1/9/2022,1,Attleboro,MA,US
71,Mr.,Justin,Justin@reactual.tech,821445,4.85,1/17/2022,1,El Cajon,CA,US
72,Raymond,Mcclain,Mcclain@reactual.tech,370861,4.85,1/22/2022,1,El Cajon,CA,US
73,Melanie,Dunn,Dunn@reactual.tech,621560,4.85,2/5/2022,1,El Cajon,CA,US
74,Jennifer,Gonzalez,Gonzalez@reactual.tech,363963,4.85,2/27/2022,1,El Cajon,CA,US
75,Natalie,Rodriguez,Rodriguez@reactual.tech,370985,4.85,1/10/2022,1,Willow Grove,PA,US
76,John,Obrien,Obrien@reactual.tech,580798,4.85,2/20/2022,1,Fontana,CA,US
77,Lisa,Hamilton,Hamilton@reactual.tech,596490,4.86,1/24/2022,1,Encino,CA,US
78,Katrina,Walsh,Walsh@reactual.tech,312403,4.86,1/6/2022,1,Encinitas,CA,US
79,Heather,Tate,Tate@reactual.tech,850393,4.86,1/27/2022,1,Downey,CA,US
80,Sophia,Perry,Perry@reactual.tech,219288,4.86,2/13/2022,1,Downey,CA,US
81,Daniel,Hudson,Hudson@reactual.tech,283302,4.86,1/21/2022,1,San Diego,CA,US
82,Amy,Cisneros,Cisneros@reactual.tech,591485,4.86,2/19/2022,1,Cypress,TX,US
83,Sandra,Brewer,Brewer@reactual.tech,843366,4.86,1/21/2022,1,Cypress,TX,US
